row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
annulus,sub,,,,,219.0,0.1729444516306759,0.11811428297876504,0.2529277076836997,0.0056540664946645985,0.004040716797253255,0.020765489401734675,1641058,1/kpc
annulus,sub,,,,,225.0,0.17127760943839487,0.14155025381751163,0.24671033159705247,0.005622871617263924,0.00383547630532773,0.01749711921671812,1470712,1/kpc
annulus,sub,,,,,231.0,0.16766554398212336,0.1456302096293267,0.23568538085546398,0.005481798734564971,0.004353930269978585,0.013722661444251038,1356093,1/kpc
annulus,sub,,,,,237.0,0.16122087858166603,0.14223122261935617,0.23087459420150286,0.005317903636505944,0.004135530822317806,0.011721817458947516,1278735,1/kpc
annulus,sub,,,,,243.0,0.15488055032183173,0.13768629184018544,0.22599461085602363,0.005285979705854355,0.0039102844910475975,0.01156587320452617,1216121,1/kpc
annulus,sub,,,,,249.0,0.15246648639975735,0.1322762217712503,0.22252832387315905,0.005322811041621361,0.0037168709117135915,0.011156587883781391,1161772,1/kpc
annulus,sub,,,,,255.0,0.15097592449101954,0.1257779192616386,0.2143656125835815,0.005028506343548858,0.00352720988469099,0.009847884126961115,1120326,1/kpc
annulus,sub,,,,,261.0,0.14856060404561633,0.11908206570274958,0.20535732568684517,0.004556928538342752,0.003326429966080546,0.008272536280515738,1106262,1/kpc
annulus,sub,,,,,267.0,0.14624387225448482,0.11301910303258075,0.19868315480564025,0.004054607302757338,0.0031161721871698143,0.006970152149190102,1095858,1/kpc
annulus,sub,,,,,273.0,0.14358505807276467,0.10739642338304789,0.19330702025758706,0.0037334082825172667,0.002954024828977716,0.006063051155736968,1077266,1/kpc
annulus,sub,,,,,279.0,0.13505208820236453,0.10148954976654259,0.19047870260791216,0.00329282565230034,0.0026654853380422374,0.004125881437285217,862973,1/kpc
annulus,sub,,,,,285.0,0.1342093900412454,0.09618772792046218,0.1865187030233971,0.003009700644869454,0.0022975986009062233,0.0034781614140364245,712669,1/kpc
annulus,sub,,,,,291.0,0.13415557561368258,0.09137986509052998,0.18523323835697528,0.00300181354796841,0.0021308163875415256,0.003313000617978744,602992,1/kpc
annulus,sub,,,,,297.0,0.1347263466963103,0.08695624706596902,0.1859701264232445,0.0030210983348282336,0.0027772820689101877,0.0037535273978501643,509837,1/kpc
annulus,sub,,,,,303.0,0.13602123084325313,0.08285749295235835,0.18822444925753273,0.0031440125169981906,0.002754383366271344,0.004971016403262221,426254,1/kpc
annulus,sub,,,,,309.0,0.13814000446539082,0.07909155785891107,0.18969405973100284,0.003553309628298186,0.0026207355316205097,0.006641366728718125,349006,1/kpc
