galaxy,outer_rule,q_est_kms2,q_best_kms2,v_est_asym_kms,v_extra_asym_kms,vobs_outer_kms,delta_q_kms2,ratio_q,delta_v_kms
UGC07089,rfrac,3691.9796416666663,3631.067667764866,60.7616625979463,60.258341063830045,73.7,60.91197390180014,1.0167752241145358,0.5033215341162531
UGC07125,rfrac,2436.674026613212,2389.4280012850313,49.3626784789198,48.88177575830313,65.4,47.24602532818062,1.019772943693123,0.48090272061666894
UGC07151,rfrac,3520.8933782753993,5218.871308827678,59.337116362993235,72.2417559921385,72.5,-1697.9779305522788,0.6746465221933786,-12.904639629145258
UGC07232,lastfrac,644.2696104993522,1489.361462150704,25.382466596045237,38.592246140263775,35.2,-845.0918516513518,0.4325810938930824,-13.209779544218538
UGC07261,lastfrac,3924.2167101239247,5261.659557597326,62.643568785023135,72.53729769985456,73.4,-1337.4428474734013,0.7458134961350239,-9.893728914831428
UGC07323,rfrac,3888.4034261652237,6441.77397993751,62.35706396363786,80.26066271803087,79.5,-2553.3705537722867,0.6036230762326349,-17.90359875439301
UGC07399,rfrac,8965.617336978072,12297.528644245102,94.68694385699683,110.89422277217646,100.0,-3331.9113072670298,0.7290584633989634,-16.20727891517963
UGC07524,rfrac,4587.789852866153,4265.15825846191,67.73322561982526,65.30817910845401,81.2,322.6315944042426,1.0756435224329963,2.4250465113712494
UGC07559,lastfrac,581.000741427295,873.4351170109968,24.103956966176632,29.55393572793642,29.7,-292.4343755837018,0.6651904991129182,-5.4499787617597875
UGC07577,lastfrac,65.91180044661377,116.0839825785057,8.118608282619242,10.774227702183842,14.1,-50.17218213189193,0.5677941002931968,-2.6556194195645997
UGC07603,rfrac,3302.4454400000004,4729.930908849941,57.466907346750446,68.77449315589277,61.5,-1427.4854688499408,0.6982016235841748,-11.307585809142324
UGC07608,lastfrac,3228.01739,6511.635944429696,56.81564388440916,80.69470828021932,61.4,-3283.618554429696,0.4957306301439303,-23.879064395810154
UGC07690,lastfrac,2185.394605954613,3141.3714915140527,46.7482043072738,56.04793922629138,57.9,-955.9768855594398,0.695681682939484,-9.299734919017581
UGC07866,lastfrac,541.2523302338772,958.4763952563285,23.264830328929484,30.959269940622445,28.2,-417.2240650224513,0.5647007405843607,-7.69443961169296
UGC08286,rfrac,5856.6901987128485,7416.537465456208,76.5290154040469,86.11932109263408,83.5,-1559.8472667433598,0.7896798507378119,-9.59030568858718
UGC08490,rfrac,5408.6791918758945,6014.010659749418,73.54372299439221,77.55005260958511,77.6,-605.3314678735233,0.899346459106751,-4.006329615192897
UGC08550,rfrac,2678.1243190452155,3554.864201187588,51.7505972820142,59.622681935548556,57.3,-876.7398821423726,0.753368952364066,-7.872084653534358
UGC08699,rfrac,25150.491378724833,22509.60649891304,158.58906449917924,150.03201824581657,181.0,2640.8848798117942,1.117322569807665,8.557046253362671
UGC08837,lastfrac,1025.400009028745,1669.0424358953196,32.021867669277896,40.853915796350776,43.0,-643.6424268665746,0.6143642528050478,-8.83204812707288
UGC09037,rfrac,13389.766265633152,7473.869574307438,115.71415758511641,86.45154466119988,152.0,5915.8966913257145,1.7915440097673778,29.262612923916535
UGC09133,rfrac,40356.43991593451,39652.71609055944,200.88912343861355,199.1298975306306,224.0,703.7238253750693,1.0177471783715368,1.759225907982966
UGC09992,lastfrac,586.8408099999999,857.447925855902,24.2247974191736,29.282211765095578,33.0,-270.60711585590207,0.6844040230364044,-5.057414345921977
UGC10310,lastfrac,3594.4961500000004,4735.604596016735,59.95411703961622,68.81572927766395,70.9,-1141.1084460167344,0.7590363758459572,-8.861612238047726
UGC11455,rfrac,42069.20541875,41062.02894633695,205.10778975638638,202.63767898971048,272.0,1007.1764724130553,1.0245281711171483,2.4701107666759015
UGC11557,lastfrac,1919.1390450952042,1310.8174379600632,43.807979240033475,36.2052128561629,81.6,608.321607135141,1.464078055050771,7.6027663838705735
UGC11820,lastfrac,4380.497160000001,4513.342465919723,66.18532435517712,67.18141458706955,76.95,-132.8453059197218,0.9705660922203805,-0.9960902318924383
UGC11914,rfrac,32172.071610549196,133177.15138345194,179.36574815317778,364.9344480635556,288.0,-101005.07977290274,0.2415735077402081,-185.5686999103778
UGC12506,rfrac,42714.81132535761,43051.379418371165,206.6756186040279,207.4882633267992,230.0,-336.5680930135568,0.9921821763306861,-0.8126447227712958
UGC12632,rfrac,3924.719021328688,4500.378351808616,62.647577936650414,67.08485933359789,73.0,-575.6593304799276,0.8720864590754728,-4.437281396947476
UGC12732,rfrac,6283.924568883492,5992.261979692748,79.27120895308391,77.40970210311333,90.8,291.66258919074335,1.0486732039051634,1.8615068499705814
UGCA281,lastfrac,513.5407138036901,1014.3334823530448,22.661436710934506,31.848602518054772,27.5,-500.7927685493547,0.5062839024226838,-9.187165807120266
UGCA442,lastfrac,2584.0627380755254,3035.9018906994925,50.833677203951375,55.09901896313121,56.4,-451.83915262396704,0.8511680650787236,-4.265341759179833
UGCA444,rfrac,917.4826545675203,1661.615991184231,30.289976140094932,40.762924222683424,37.2,-744.1333366167107,0.5521628700224724,-10.472948082588491
