r,aN,aBL,aTot,v
2.876661415353839,0.06654022369843926,0.004248223738571105,0.07078844743701036,0.4512586790244051
2.889164291072768,0.06611308469424383,0.004594040822692558,0.07070712551693639,0.45197843108707386
2.901667166791698,0.06569004540254113,0.004967011152826645,0.07065705655536778,0.4527949437757171
2.914170042510628,0.06527105352489597,0.005369088704503497,0.07064014222939946,0.4537150937357119
2.9266729182295577,0.06485605759415985,0.005802337179153332,0.07065839477331319,0.45474609446220493
2.9391757939484875,0.06444500695866515,0.006268930725890266,0.07071393768455542,0.4558954857609659
2.951678669667417,0.06403785176676886,0.0067711535385111075,0.07080900530527998,0.45717111739474736
2.9641815453863467,0.06363454295173708,0.007311398103795914,0.070945941055533,0.4585811260800846
2.9766844211052765,0.06323503221696156,0.00789216185382695,0.0711271940707885,0.4601339049748972
2.9891872968242064,0.06283927202150018,0.008516041952517348,0.07135531397401752,0.4618380647933169
3.0016901725431357,0.06244721556593303,0.009185727925945091,0.07163294349187813,0.46370238570650935
3.0141930482620656,0.06205881677852648,0.009903991828789755,0.07196280860731624,0.46573575924292754
3.0266959239809954,0.06167403030169759,0.010673675626833039,0.07234770592853063,0.4679471194945636
3.0391987996999252,0.061292811478771116,0.011497675470096242,0.07279048694886736,0.47034536307331737
3.051701675418855,0.06091511634102238,0.012378922535044124,0.0732940388760665,0.47293925744888937
3.0642045511377844,0.06054090159499854,0.013320360129975456,0.073861261724974,0.4757373375408371
3.0767074268567143,0.06017012461011178,0.014324916788064024,0.07449504139817581,0.478747790735128
3.089210302575644,0.05980274340649752,0.015395475120460883,0.0751982185269584,0.48197833084985736
3.101713178294574,0.05943871664313138,0.01653483627035881,0.07597355291349019,0.4854360619830717
3.1142160540135038,0.05907800360619848,0.017745679900666174,0.07682368350686465,0.4891273336315711
3.126718929732433,0.05872056419770913,0.01903051976517309,0.07775108396288222,0.4930575889629523
3.139221805451363,0.05836635892435474,0.020391655057232467,0.0787580139815872,0.4972312086394436
3.151724681170293,0.058015348886598386,0.021831117901241624,0.07984646678784,0.5016513531123776
